"Tag ID,""Kit"",""Cantidad"""
"ad8a14004440b5874c000064,""Kit 2"",""5"""
"110000000000000000000305,""Kit 1"",""5"""
"110000000000000000000307,""Kit 1"",""5"""
","""","""""
